
> dev
> vite


  VITE v5.2.11  ready in 88 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.32.4:5173/

  LARAVEL v11.14.0  plugin v1.0.2

  ➜  APP_URL: http://localhost
11:00:17 PM [vite] page reload storage/app/public/fonts/6e5850983f/preload.html
11:00:18 PM [vite] page reload storage/app/public/fonts/117c5e87fc/preload.html
11:00:21 PM [vite] page reload storage/app/public/fonts/383dab2c7d/preload.html
11:17:12 PM [vite] page reload tailwind.config.js
11:17:47 PM [vite] page reload tailwind.config.js
11:18:09 PM [vite] page reload resources/views/welcome.blade.php
11:18:09 PM [vite] page reload resources/views/welcome.blade.php
11:18:09 PM [vite] page reload resources/views/components/story.blade.php
11:18:09 PM [vite] page reload resources/views/components/story.blade.php
11:18:09 PM [vite] page reload resources/views/components/main/story.blade.php
11:18:09 PM [vite] page reload resources/views/components/main/story.blade.php
11:18:09 PM [vite] page reload resources/views/components/header/navbar/index.blade.php
11:18:09 PM [vite] page reload resources/views/components/header/navbar/index.blade.php
11:18:11 PM [vite] page reload resources/views/welcome.blade.php
11:18:11 PM [vite] page reload resources/views/welcome.blade.php
11:20:24 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:20:24 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:26:44 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:26:44 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:01 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:01 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:05 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:05 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:28 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:28 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:33 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:33 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:35 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:35 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:47 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:27:47 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:28:12 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:28:12 PM [vite] page reload resources/views/components/header/main-menu.blade.php
11:29:44 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
11:29:44 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
11:30:19 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
11:30:19 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
11:30:56 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
11:30:56 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
3:05:45 PM [vite] page reload resources/views/components/layout.blade.php
3:05:45 PM [vite] page reload resources/views/components/layout.blade.php
3:09:21 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:09:21 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:10:09 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:10:09 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:10:51 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:10:51 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:11:59 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:11:59 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:13:30 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:13:30 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:13:52 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:13:52 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:19:29 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:19:29 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:20:40 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:20:40 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:21:11 PM [vite] page reload resources/views/components/header/top-banner.blade.php
3:21:11 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:09:44 PM [vite] page reload resources/images/logo.png.crdownload
7:09:44 PM [vite] page reload resources/images/logo.png
7:09:44 PM [vite] page reload resources/images/logo.png.crdownload
7:14:54 PM [vite] page reload resources/images/logo.png.crdownload
7:14:54 PM [vite] page reload resources/images/logo.png.crdownload
7:21:35 PM [vite] page reload resources/views/components/header/logo.blade.php
7:21:35 PM [vite] page reload resources/views/components/header/logo.blade.php
7:22:27 PM [vite] page reload resources/views/components/header/logo.blade.php
7:22:27 PM [vite] page reload resources/views/components/header/logo.blade.php
7:22:47 PM [vite] page reload resources/views/components/header/logo.blade.php
7:22:47 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:15 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:15 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:45 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:45 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:52 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:52 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:58 PM [vite] page reload resources/views/components/header/logo.blade.php
7:23:58 PM [vite] page reload resources/views/components/header/logo.blade.php
7:28:06 PM [vite] page reload resources/views/components/header/logo.blade.php
7:28:06 PM [vite] page reload resources/views/components/header/logo.blade.php
7:40:04 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:40:04 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:52:41 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:52:41 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:53:07 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:53:07 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:54:04 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:54:04 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:55:22 PM [vite] page reload resources/views/components/header/search.blade.php
7:55:33 PM [vite] page reload resources/views/components/header/search.blade.php
7:55:44 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:55:44 PM [vite] page reload resources/views/components/header/top-banner.blade.php
7:56:47 PM [vite] page reload resources/views/components/header/search.blade.php
7:56:47 PM [vite] page reload resources/views/components/header/search.blade.php
7:57:50 PM [vite] page reload resources/views/components/header/search.blade.php
7:57:50 PM [vite] page reload resources/views/components/header/search.blade.php
7:58:06 PM [vite] page reload resources/views/components/header/search.blade.php
7:58:06 PM [vite] page reload resources/views/components/header/search.blade.php
7:58:15 PM [vite] page reload resources/views/components/header/search.blade.php
7:58:15 PM [vite] page reload resources/views/components/header/search.blade.php
7:59:03 PM [vite] page reload resources/views/components/header/search.blade.php
7:59:03 PM [vite] page reload resources/views/components/header/search.blade.php
7:59:20 PM [vite] page reload resources/views/components/header/search.blade.php
7:59:20 PM [vite] page reload resources/views/components/header/search.blade.php
7:59:56 PM [vite] page reload resources/views/components/header/search.blade.php
7:59:56 PM [vite] page reload resources/views/components/header/search.blade.php
8:00:19 PM [vite] page reload resources/views/components/header/search.blade.php
8:00:19 PM [vite] page reload resources/views/components/header/search.blade.php
8:19:44 PM [vite] page reload resources/views/components/header/search.blade.php
8:19:44 PM [vite] page reload resources/views/components/header/search.blade.php
8:19:50 PM [vite] page reload resources/views/components/header/search.blade.php
8:19:50 PM [vite] page reload resources/views/components/header/search.blade.php
8:20:03 PM [vite] page reload resources/views/components/header/search.blade.php
8:20:03 PM [vite] page reload resources/views/components/header/search.blade.php
8:20:14 PM [vite] page reload resources/views/components/header/search.blade.php
8:20:14 PM [vite] page reload resources/views/components/header/search.blade.php
8:20:26 PM [vite] page reload resources/views/components/header/search.blade.php
8:20:26 PM [vite] page reload resources/views/components/header/search.blade.php
8:21:10 PM [vite] page reload resources/views/components/header/search.blade.php
8:21:10 PM [vite] page reload resources/views/components/header/search.blade.php
8:21:44 PM [vite] page reload resources/views/components/header/search.blade.php
8:21:44 PM [vite] page reload resources/views/components/header/search.blade.php
8:22:08 PM [vite] page reload resources/views/components/header/search.blade.php
8:22:08 PM [vite] page reload resources/views/components/header/search.blade.php
8:22:46 PM [vite] page reload resources/views/components/header/search.blade.php
8:22:46 PM [vite] page reload resources/views/components/header/search.blade.php
8:23:13 PM [vite] page reload resources/views/components/header/search.blade.php
8:23:13 PM [vite] page reload resources/views/components/header/search.blade.php
8:25:02 PM [vite] page reload resources/views/components/header/search.blade.php
8:25:02 PM [vite] page reload resources/views/components/header/search.blade.php
8:27:55 PM [vite] page reload resources/views/components/header/search.blade.php
8:27:55 PM [vite] page reload resources/views/components/header/search.blade.php
9:03:55 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:03:55 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:05:24 PM [vite] page reload resources/views/components/header/logo.blade.php
9:05:24 PM [vite] page reload resources/views/components/header/logo.blade.php
9:05:36 PM [vite] page reload resources/views/components/header/logo.blade.php
9:05:36 PM [vite] page reload resources/views/components/header/logo.blade.php
9:05:58 PM [vite] page reload resources/views/components/header/logo.blade.php
9:05:58 PM [vite] page reload resources/views/components/header/logo.blade.php
9:06:13 PM [vite] page reload resources/views/components/header/logo.blade.php
9:06:13 PM [vite] page reload resources/views/components/header/logo.blade.php
9:06:58 PM [vite] page reload resources/views/components/header/logo.blade.php
9:06:58 PM [vite] page reload resources/views/components/header/logo.blade.php
9:07:21 PM [vite] page reload resources/views/components/header/logo.blade.php
9:07:21 PM [vite] page reload resources/views/components/header/logo.blade.php
9:09:37 PM [vite] page reload resources/views/components/layout.blade.php
9:09:37 PM [vite] page reload resources/views/components/layout.blade.php
9:12:23 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:12:23 PM [vite] page reload resources/views/components/header/main-menu.blade.php
9:12:40 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:12:40 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:13:10 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:13:10 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:14:09 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:14:09 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:14:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:14:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:15:23 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:15:23 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:15:41 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:15:41 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:16:02 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:16:02 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:16:37 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:16:37 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:17:11 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:17:11 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:17:40 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:17:40 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:18:18 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:18:18 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:19:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:19:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:19:58 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:19:58 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:20:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:20:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
9:20:45 PM [vite] page reload resources/views/components/header/search.blade.php
9:20:45 PM [vite] page reload resources/views/components/header/search.blade.php
9:20:47 PM [vite] page reload resources/views/components/header/search.blade.php
9:20:47 PM [vite] page reload resources/views/components/header/search.blade.php
